hour_of_crash,sex,age
10,1,49
6,1,70
2,1,50
99,0,72
16,0,39
23,0,18
6,0,48
23,1,23
19,0,32
17,1,80
16,1,66
13,0,60
3,1,65
8,1,30
15,1,59
22,0,999
16,1,37
15,1,21
19,1,37
21,1,21
14,1,54
22,1,22
20,0,44
2,1,31
13,0,23
14,1,15
8,1,25
20,1,34
6,1,44
20,1,53
19,0,25
14,0,15
22,1,46
23,1,72
2,1,24
0,1,44
7,1,51
18,1,26
17,1,61
14,0,52
13,1,41
9,1,44
12,0,50
16,0,31
16,1,33
17,0,13
17,1,2
3,1,59
11,1,59
21,0,32
17,0,22
13,0,35
1,1,999
18,1,57
18,0,73
18,0,81
21,1,50
15,0,34
23,0,27
21,0,54
21,0,52
20,1,56
18,0,32
14,1,64
1,1,21
1,1,23
22,0,998
22,1,43
23,1,48
18,1,43
2,0,23
9,0,70
14,0,23
16,1,35
1,0,73
23,1,998
23,1,58
22,1,999
0,1,999
10,1,24
16,0,67
4,1,22
17,1,999
1,1,24
12,0,37
22,1,21
18,1,999
12,1,44
17,1,63
22,1,8
22,0,53
22,0,30
20,1,61
22,1,2
18,1,18
22,0,4
22,1,33
22,0,10
2,1,35
22,1,52
20,1,34
15,1,39
11,1,999
19,1,999
19,0,26
19,1,999
20,1,73
19,1,21
12,1,999
13,1,0
13,0,3
13,0,5
20,1,53
15,0,55
13,1,38
19,1,53
18,0,31
22,0,21
16,1,22
21,1,26
16,1,47
20,1,59
23,0,35
23,0,0
20,0,38
6,1,63
18,1,81
14,1,25
5,1,999
15,1,71
11,1,18
18,0,22
9,0,58
1,1,47
6,1,46
16,1,61
8,1,56
22,1,21
19,0,43
1,0,25
9,1,91
21,1,28
6,1,31
19,1,30
5,1,36
2,0,50
8,0,51
7,1,14
17,1,19
2,1,38
20,1,18
1,1,64
16,1,39
16,0,21
21,1,45
21,1,59
2,1,36
20,1,21
22,1,34
18,1,67
17,1,40
5,1,33
16,0,25
18,0,22
17,1,45
10,1,51
22,1,53
6,1,44
13,0,29
8,1,24
3,1,22
1,1,28
9,1,38
19,1,24
19,1,23
1,0,50
0,0,26
19,1,23
18,1,25
3,1,998
19,0,39
9,1,24
14,1,63
21,0,0
21,0,9
12,0,28
18,1,49
0,1,56
0,1,999
15,1,91
7,1,27
5,1,51
19,0,24
19,1,48
19,1,19
15,0,40
10,1,60
23,1,24
17,1,61
6,1,998
19,1,67
23,1,998
18,0,31
16,1,37
18,1,25
1,1,999
5,1,999
19,1,67
12,1,35
17,1,66
21,1,40
8,1,22
9,1,41
22,1,55
18,1,50
7,1,39
8,1,35
7,1,54
3,1,62
18,1,59
9,1,31
21,1,998
10,1,66
17,1,15
9,1,60
11,1,38
23,1,38
21,1,58
11,1,38
16,1,22
23,0,17
21,1,18
22,1,21
15,1,26
19,1,18
5,1,39
10,1,43
17,1,30
21,1,51
21,1,17
5,1,48
13,1,43
6,1,57
7,1,998
0,1,17
21,1,43
1,1,34
13,0,35
15,1,60
18,0,68
18,1,19
20,1,18
0,1,55
11,0,21
20,1,20
13,0,36
10,1,55
10,1,26
19,1,26
6,1,67
18,1,32
22,1,30
19,1,73
20,0,26
8,1,18
23,1,36
20,1,34
3,0,28
20,0,999
18,0,36
6,1,61
21,0,61
13,1,46
22,1,16
19,1,36
5,1,23
16,0,71
20,1,34
18,0,999
13,0,62
11,1,2
0,1,25
17,1,14
15,0,43
19,1,37
22,1,28
21,1,38
9,1,40
7,1,33
1,1,44
7,1,37
11,1,31
11,1,35
0,1,41
13,1,64
1,1,44
13,1,37
20,1,40
15,1,38
20,1,31
3,1,34
18,1,23
2,1,35
9,1,69
18,0,53
14,1,93
15,1,37
20,1,22
18,0,23
20,1,28
20,1,23
9,1,29
9,0,6
9,1,63
16,0,59
13,1,46
13,0,28
17,0,22
18,0,30
18,1,20
18,1,72
0,1,21
19,0,17
20,0,22
4,0,45
20,1,37
21,1,36
19,1,51
2,1,25
19,0,17
16,1,33
8,0,15
16,0,20
13,1,999
8,1,17
16,1,73
8,1,17
19,0,36
16,0,0
13,1,54
15,1,37
22,1,60
16,1,49
17,1,63
17,0,8
21,1,31
17,0,6
14,0,41
20,1,54
4,1,35
22,1,27
2,1,998
20,1,56
0,1,24
0,1,19
8,0,24
13,1,48
17,0,58
21,0,10
8,0,48
23,0,20
21,0,55
21,1,28
15,0,62
21,0,9
2,1,18
17,1,58
0,1,64
20,1,63
19,1,35
20,1,37
16,1,32
23,1,27
12,0,17
23,1,19
23,0,20
21,0,31
21,1,34
22,1,40
6,1,41
6,1,51
16,0,18
10,0,50
9,1,55
1,1,56
16,0,58
15,0,39
22,1,52
20,1,22
19,0,78
16,0,44
19,1,62
20,0,54
13,0,69
12,1,999
16,1,26
11,0,23
7,0,50
11,1,4
21,1,41
2,1,999
2,1,999
14,0,33
20,1,34
0,1,38
8,0,28
22,1,24
19,0,34
21,1,40
11,1,64
23,0,19
12,1,998
18,0,999
7,1,999
6,1,999
20,1,21
13,0,999
15,1,999
18,1,999
0,0,999
20,1,999
1,1,999
4,1,999
0,0,999
22,1,999
10,0,81
11,0,999
20,1,43
23,1,33
20,1,31
15,0,68
23,1,36
20,0,3
10,1,62
23,1,51
20,0,32
16,1,51
21,1,16
11,0,999
21,1,17
23,0,18
21,0,998
21,1,49
14,1,45
15,0,93
20,0,32
18,1,23
19,1,13
19,1,17
3,0,23
9,1,28
13,1,27
21,0,19
22,1,17
1,1,30
18,0,40
19,1,16
18,1,24
20,1,20
4,0,20
19,1,15
20,1,22
22,1,86
18,0,64
3,0,31
3,1,1
19,1,33
3,1,19
19,1,48
20,1,33
10,1,31
23,1,44
23,0,19
22,1,58
10,0,19
17,1,36
4,1,19
19,1,24
20,1,22
19,1,54
3,1,7
9,1,40
11,1,64
12,1,49
1,1,43
5,1,49
4,1,57
4,1,29
0,1,47
14,0,55
19,1,27
